repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;7438;1860;256;10;0.03763;0.15261;0.21386;-1.00000;0.06522;0.37242;-1.00000;-1.00000;1.00000;0.42184;-1.00000;-1.00000;-1.00000;0.08871;0.15261;0.21386;-1.00000;0.06522;0.34775;-1.00000;-1.00000;1.00000;0.52635;-1.00000;0.20777;-1.00000;0.03656;0.15261;0.21386;-1.00000;0.06522;0.36327;-1.00000;-1.00000;0.99873;0.40840;-1.00000;0.39477;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;7438;1860;256;10;0.04032;0.15019;0.20950;-1.00000;0.06350;0.37056;-1.00000;-1.00000;1.00000;0.42207;-1.00000;-1.00000;-1.00000;0.09462;0.15019;0.20950;-1.00000;0.06350;0.34431;-1.00000;-1.00000;1.00000;0.49186;-1.00000;0.20833;-1.00000;0.04247;0.15019;0.20950;-1.00000;0.06350;0.35889;-1.00000;-1.00000;0.98065;0.40307;-1.00000;0.40425;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;7438;1860;256;10;0.04032;0.15169;0.21250;-1.00000;0.06385;0.37293;-1.00000;-1.00000;1.00000;0.41936;-1.00000;-1.00000;-1.00000;0.15054;0.15169;0.21250;-1.00000;0.06385;0.33846;-1.00000;-1.00000;1.00000;0.63526;-1.00000;0.22161;-1.00000;0.03871;0.15169;0.21250;-1.00000;0.06385;0.36168;-1.00000;-1.00000;0.98853;0.40284;-1.00000;0.39990;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;7438;1860;256;10;0.03172;0.15407;0.21370;-1.00000;0.06668;0.37877;-1.00000;-1.00000;1.00000;0.43463;-1.00000;-1.00000;-1.00000;0.14462;0.15407;0.21370;-1.00000;0.06668;0.32990;-1.00000;-1.00000;1.00000;0.80767;-1.00000;0.23167;-1.00000;0.03172;0.15407;0.21370;-1.00000;0.06668;0.36671;-1.00000;-1.00000;1.00000;0.41695;-1.00000;0.39406;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;7438;1860;256;10;0.04516;0.15176;0.21214;-1.00000;0.06486;0.37382;-1.00000;-1.00000;1.00000;0.42253;-1.00000;-1.00000;-1.00000;0.14355;0.15176;0.21214;-1.00000;0.06486;0.33721;-1.00000;-1.00000;1.00000;0.57752;-1.00000;0.21829;-1.00000;0.04677;0.15176;0.21214;-1.00000;0.06486;0.36163;-1.00000;-1.00000;0.98995;0.40697;-1.00000;0.39612;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;7438;1860;256;10;0.04194;0.15004;0.21088;-1.00000;0.06316;0.36907;-1.00000;-1.00000;1.00000;0.41552;-1.00000;-1.00000;-1.00000;0.14785;0.15004;0.21088;-1.00000;0.06316;0.33353;-1.00000;-1.00000;1.00000;0.77615;-1.00000;0.22826;-1.00000;0.04839;0.15004;0.21088;-1.00000;0.06316;0.35805;-1.00000;-1.00000;0.96633;0.39896;-1.00000;0.40066;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;7438;1860;256;10;0.03280;0.15086;0.20994;-1.00000;0.06438;0.37021;-1.00000;-1.00000;1.00000;0.42220;-1.00000;-1.00000;-1.00000;0.15000;0.15086;0.20994;-1.00000;0.06438;0.34261;-1.00000;-1.00000;1.00000;0.61092;-1.00000;0.21549;-1.00000;0.03226;0.15086;0.20994;-1.00000;0.06438;0.35984;-1.00000;-1.00000;0.98618;0.40646;-1.00000;0.40056;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;7438;1860;256;10;0.04086;0.15169;0.21314;-1.00000;0.06390;0.37280;-1.00000;-1.00000;1.00000;0.41999;-1.00000;-1.00000;-1.00000;0.15215;0.15169;0.21314;-1.00000;0.06390;0.33012;-1.00000;-1.00000;1.00000;0.79930;-1.00000;0.23109;-1.00000;0.04194;0.15169;0.21314;-1.00000;0.06390;0.36152;-1.00000;-1.00000;0.98824;0.40311;-1.00000;0.39986;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;7438;1860;256;10;0.03978;0.15183;0.21259;-1.00000;0.06483;0.37260;-1.00000;-1.00000;1.00000;0.42426;-1.00000;-1.00000;-1.00000;0.10753;0.15183;0.21259;-1.00000;0.06483;0.34528;-1.00000;-1.00000;1.00000;0.53638;-1.00000;0.21149;-1.00000;0.03978;0.15183;0.21259;-1.00000;0.06483;0.36193;-1.00000;-1.00000;0.99524;0.40785;-1.00000;0.39806;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;7438;1860;256;10;0.04355;0.15201;0.21325;-1.00000;0.06394;0.37175;-1.00000;-1.00000;1.00000;0.42138;-1.00000;-1.00000;-1.00000;0.14516;0.15201;0.21325;-1.00000;0.06394;0.34459;-1.00000;-1.00000;1.00000;0.60880;-1.00000;0.21518;-1.00000;0.04247;0.15201;0.21325;-1.00000;0.06394;0.36243;-1.00000;-1.00000;0.99538;0.40405;-1.00000;0.40109;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;7438;1860;256;10;0.03548;0.15289;0.21367;-1.00000;0.06522;0.37392;-1.00000;-1.00000;1.00000;0.42472;-1.00000;-1.00000;-1.00000;0.07849;0.15289;0.21367;-1.00000;0.06522;0.34927;-1.00000;-1.00000;1.00000;0.51936;-1.00000;0.20987;-1.00000;0.03602;0.15289;0.21367;-1.00000;0.06522;0.36419;-1.00000;-1.00000;1.00000;0.41016;-1.00000;0.39790;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
12;7438;1860;256;10;0.04032;0.15053;0.21089;-1.00000;0.06412;0.37014;-1.00000;-1.00000;1.00000;0.41954;-1.00000;-1.00000;-1.00000;0.14677;0.15053;0.21089;-1.00000;0.06412;0.33846;-1.00000;-1.00000;1.00000;0.63657;-1.00000;0.21820;-1.00000;0.04301;0.15053;0.21089;-1.00000;0.06412;0.35897;-1.00000;-1.00000;0.97589;0.40378;-1.00000;0.39862;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
13;7438;1860;256;10;0.03710;0.15017;0.21020;-1.00000;0.06340;0.37034;-1.00000;-1.00000;1.00000;0.41859;-1.00000;-1.00000;-1.00000;0.14731;0.15017;0.21020;-1.00000;0.06340;0.34093;-1.00000;-1.00000;1.00000;0.59470;-1.00000;0.21626;-1.00000;0.03495;0.15017;0.21020;-1.00000;0.06340;0.35863;-1.00000;-1.00000;0.97470;0.40131;-1.00000;0.40221;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
14;7438;1860;256;10;0.04570;0.15133;0.21178;-1.00000;0.06343;0.36877;-1.00000;-1.00000;1.00000;0.41912;-1.00000;-1.00000;-1.00000;0.12312;0.15133;0.21178;-1.00000;0.06343;0.34859;-1.00000;-1.00000;1.00000;0.53289;-1.00000;0.20602;-1.00000;0.04301;0.15133;0.21178;-1.00000;0.06343;0.36068;-1.00000;-1.00000;0.98907;0.40270;-1.00000;0.40436;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
15;7438;1860;256;10;0.03871;0.15087;0.21219;-1.00000;0.06337;0.37156;-1.00000;-1.00000;1.00000;0.41949;-1.00000;-1.00000;-1.00000;0.15645;0.15087;0.21219;-1.00000;0.06337;0.33706;-1.00000;-1.00000;1.00000;0.60384;-1.00000;0.21929;-1.00000;0.04355;0.15087;0.21219;-1.00000;0.06337;0.36017;-1.00000;-1.00000;0.98655;0.40250;-1.00000;0.40467;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
16;7438;1860;256;10;0.03710;0.15226;0.21326;-1.00000;0.06435;0.37305;-1.00000;-1.00000;1.00000;0.42050;-1.00000;-1.00000;-1.00000;0.16183;0.15226;0.21326;-1.00000;0.06435;0.33547;-1.00000;-1.00000;1.00000;0.80579;-1.00000;0.22920;-1.00000;0.03763;0.15226;0.21326;-1.00000;0.06435;0.36285;-1.00000;-1.00000;0.99312;0.40443;-1.00000;0.39719;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
