repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;19509;4878;357;3;0.31878;0.53395;0.58442;-1.00000;0.30895;1.12588;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.51620;0.53395;0.58442;-1.00000;0.30895;1.09278;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07882;-1.00000;0.32370;0.53395;0.58442;-1.00000;0.30895;1.11638;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13533;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;19509;4878;357;3;0.32739;0.53563;0.58671;-1.00000;0.31008;1.12907;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.51333;0.53563;0.58671;-1.00000;0.31008;1.10373;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07361;-1.00000;0.33805;0.53563;0.58671;-1.00000;0.31008;1.11973;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13512;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;19509;4878;357;3;0.33128;0.53589;0.58669;-1.00000;0.31024;1.12610;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.43440;0.53589;0.58669;-1.00000;0.31024;1.10920;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07124;-1.00000;0.32882;0.53589;0.58669;-1.00000;0.31024;1.12004;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13334;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;19509;4878;357;3;0.32759;0.53376;0.58464;-1.00000;0.30839;1.12447;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.44608;0.53376;0.58464;-1.00000;0.30839;1.10352;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07232;-1.00000;0.33620;0.53376;0.58464;-1.00000;0.30839;1.11596;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13482;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;19509;4878;357;3;0.32185;0.53586;0.58667;-1.00000;0.31023;1.12787;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.49098;0.53586;0.58667;-1.00000;0.31023;1.10029;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07616;-1.00000;0.32923;0.53586;0.58667;-1.00000;0.31023;1.12016;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13422;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;19509;4878;357;3;0.32739;0.53397;0.58561;-1.00000;0.30845;1.12484;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53424;0.53397;0.58561;-1.00000;0.30845;1.09409;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07645;-1.00000;0.33108;0.53397;0.58561;-1.00000;0.30845;1.11629;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13504;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;19509;4878;357;3;0.32349;0.53499;0.58547;-1.00000;0.30993;1.12597;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52645;0.53499;0.58547;-1.00000;0.30993;1.10084;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07520;-1.00000;0.32595;0.53499;0.58547;-1.00000;0.30993;1.11831;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13376;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;19509;4878;357;3;0.33231;0.53671;0.58773;-1.00000;0.31116;1.12796;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.52399;0.53671;0.58773;-1.00000;0.31116;1.10583;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07463;-1.00000;0.33374;0.53671;0.58773;-1.00000;0.31116;1.12172;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13349;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;19509;4878;357;3;0.33149;0.53490;0.58580;-1.00000;0.30913;1.12694;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.53116;0.53490;0.58580;-1.00000;0.30913;1.09803;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07799;-1.00000;0.33969;0.53490;0.58580;-1.00000;0.30913;1.11823;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13463;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;19509;4878;357;3;0.32349;0.53723;0.58756;-1.00000;0.31132;1.12918;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.51927;0.53723;0.58756;-1.00000;0.31132;1.10954;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07333;-1.00000;0.32452;0.53723;0.58756;-1.00000;0.31132;1.12262;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13337;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;19509;4878;357;3;0.33743;0.53633;0.58586;-1.00000;0.31091;1.12947;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.50103;0.53633;0.58586;-1.00000;0.31091;1.10382;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07436;-1.00000;0.34092;0.53633;0.58586;-1.00000;0.31091;1.12098;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13377;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
12;19509;4878;357;3;0.33436;0.53497;0.58594;-1.00000;0.30922;1.12579;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.54387;0.53497;0.58594;-1.00000;0.30922;1.09828;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07661;-1.00000;0.34051;0.53497;0.58594;-1.00000;0.30922;1.11835;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13400;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
13;19509;4878;357;3;0.32554;0.53445;0.58443;-1.00000;0.30891;1.12369;-1.00000;-1.00000;1.00000;1.00000;-1.00000;-1.00000;-1.00000;0.43788;0.53445;0.58443;-1.00000;0.30891;1.10740;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.07072;-1.00000;0.33087;0.53445;0.58443;-1.00000;0.30891;1.11716;-1.00000;-1.00000;1.00000;1.00000;-1.00000;0.13365;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
