repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;46807;11702;48;11;0.00188;0.01886;0.03297;-1.00000;0.00264;0.05340;-1.00000;-1.00000;0.03205;0.02792;-1.00000;-1.00000;-1.00000;0.01470;0.01886;0.03297;-1.00000;0.00264;0.03274;-1.00000;-1.00000;0.09162;0.08652;-1.00000;0.30418;-1.00000;0.00171;0.01886;0.03297;-1.00000;0.00264;0.04720;-1.00000;-1.00000;0.02907;0.02562;-1.00000;0.63169;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;46807;11702;48;11;0.00111;0.01928;0.03385;-1.00000;0.00269;0.05348;-1.00000;-1.00000;0.03234;0.02818;-1.00000;-1.00000;-1.00000;0.01325;0.01928;0.03385;-1.00000;0.00269;0.03337;-1.00000;-1.00000;0.09284;0.08764;-1.00000;0.30102;-1.00000;0.00077;0.01928;0.03385;-1.00000;0.00269;0.04813;-1.00000;-1.00000;0.02939;0.02587;-1.00000;0.62768;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;46807;11702;48;11;0.00154;0.01940;0.03411;-1.00000;0.00264;0.05332;-1.00000;-1.00000;0.03150;0.02743;-1.00000;-1.00000;-1.00000;0.01726;0.01940;0.03411;-1.00000;0.00264;0.03950;-1.00000;-1.00000;0.06690;0.06147;-1.00000;0.26623;-1.00000;0.00120;0.01940;0.03411;-1.00000;0.00264;0.04834;-1.00000;-1.00000;0.02893;0.02543;-1.00000;0.62910;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;46807;11702;48;11;0.00111;0.01823;0.03191;-1.00000;0.00245;0.05191;-1.00000;-1.00000;0.03075;0.02685;-1.00000;-1.00000;-1.00000;0.01359;0.01823;0.03191;-1.00000;0.00245;0.03085;-1.00000;-1.00000;0.08682;0.08212;-1.00000;0.31300;-1.00000;0.00103;0.01823;0.03191;-1.00000;0.00245;0.04579;-1.00000;-1.00000;0.02761;0.02439;-1.00000;0.64362;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;46807;11702;48;11;0.00188;0.02045;0.03576;-1.00000;0.00285;0.05510;-1.00000;-1.00000;0.03299;0.02865;-1.00000;-1.00000;-1.00000;0.01632;0.02045;0.03576;-1.00000;0.00285;0.03838;-1.00000;-1.00000;0.08714;0.08112;-1.00000;0.27645;-1.00000;0.00137;0.02045;0.03576;-1.00000;0.00285;0.05069;-1.00000;-1.00000;0.03048;0.02668;-1.00000;0.61617;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;46807;11702;48;11;0.00205;0.01907;0.03355;-1.00000;0.00256;0.05433;-1.00000;-1.00000;0.03211;0.02791;-1.00000;-1.00000;-1.00000;0.01273;0.01907;0.03355;-1.00000;0.00256;0.03202;-1.00000;-1.00000;0.08986;0.08491;-1.00000;0.30721;-1.00000;0.00154;0.01907;0.03355;-1.00000;0.00256;0.04768;-1.00000;-1.00000;0.02868;0.02525;-1.00000;0.63825;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;46807;11702;48;11;0.00103;0.01944;0.03379;-1.00000;0.00276;0.05420;-1.00000;-1.00000;0.03244;0.02822;-1.00000;-1.00000;-1.00000;0.01333;0.01944;0.03379;-1.00000;0.00276;0.03620;-1.00000;-1.00000;0.09998;0.09416;-1.00000;0.28914;-1.00000;0.00111;0.01944;0.03379;-1.00000;0.00276;0.04846;-1.00000;-1.00000;0.02975;0.02616;-1.00000;0.62195;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;46807;11702;48;11;0.00145;0.01945;0.03410;-1.00000;0.00267;0.05361;-1.00000;-1.00000;0.03194;0.02781;-1.00000;-1.00000;-1.00000;0.01359;0.01945;0.03410;-1.00000;0.00267;0.03611;-1.00000;-1.00000;0.09982;0.09402;-1.00000;0.28989;-1.00000;0.00120;0.01945;0.03410;-1.00000;0.00267;0.04848;-1.00000;-1.00000;0.02923;0.02570;-1.00000;0.62764;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;46807;11702;48;11;0.00085;0.01880;0.03313;-1.00000;0.00265;0.05371;-1.00000;-1.00000;0.03266;0.02845;-1.00000;-1.00000;-1.00000;0.01025;0.01880;0.03313;-1.00000;0.00265;0.03141;-1.00000;-1.00000;0.08825;0.08344;-1.00000;0.31006;-1.00000;0.00077;0.01880;0.03313;-1.00000;0.00265;0.04707;-1.00000;-1.00000;0.02913;0.02569;-1.00000;0.63238;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;46807;11702;48;11;0.00111;0.01922;0.03374;-1.00000;0.00268;0.05331;-1.00000;-1.00000;0.03205;0.02792;-1.00000;-1.00000;-1.00000;0.01307;0.01922;0.03374;-1.00000;0.00268;0.03694;-1.00000;-1.00000;0.09094;0.08512;-1.00000;0.28277;-1.00000;0.00111;0.01922;0.03374;-1.00000;0.00268;0.04798;-1.00000;-1.00000;0.02924;0.02573;-1.00000;0.62661;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;46807;11702;48;11;0.00085;0.01935;0.03373;-1.00000;0.00275;0.05356;-1.00000;-1.00000;0.03225;0.02808;-1.00000;-1.00000;-1.00000;0.01248;0.01935;0.03373;-1.00000;0.00275;0.03620;-1.00000;-1.00000;0.09527;0.08951;-1.00000;0.28739;-1.00000;0.00085;0.01935;0.03373;-1.00000;0.00275;0.04824;-1.00000;-1.00000;0.02968;0.02612;-1.00000;0.62173;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
12;46807;11702;48;11;0.00171;0.01945;0.03422;-1.00000;0.00261;0.05344;-1.00000;-1.00000;0.03117;0.02713;-1.00000;-1.00000;-1.00000;0.01333;0.01945;0.03422;-1.00000;0.00261;0.03797;-1.00000;-1.00000;0.08914;0.08317;-1.00000;0.27783;-1.00000;0.00145;0.01945;0.03422;-1.00000;0.00261;0.04846;-1.00000;-1.00000;0.02871;0.02523;-1.00000;0.63063;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
13;46807;11702;48;11;0.00145;0.01912;0.03363;-1.00000;0.00262;0.05369;-1.00000;-1.00000;0.03165;0.02754;-1.00000;-1.00000;-1.00000;0.01325;0.01912;0.03363;-1.00000;0.00262;0.03295;-1.00000;-1.00000;0.06839;0.06378;-1.00000;0.29552;-1.00000;0.00162;0.01912;0.03363;-1.00000;0.00262;0.04774;-1.00000;-1.00000;0.02888;0.02542;-1.00000;0.63116;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
14;46807;11702;48;11;0.00137;0.01906;0.03357;-1.00000;0.00261;0.05337;-1.00000;-1.00000;0.03162;0.02754;-1.00000;-1.00000;-1.00000;0.01077;0.01906;0.03357;-1.00000;0.00261;0.03496;-1.00000;-1.00000;0.09641;0.09087;-1.00000;0.29409;-1.00000;0.00120;0.01906;0.03357;-1.00000;0.00261;0.04762;-1.00000;-1.00000;0.02875;0.02531;-1.00000;0.63202;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
15;46807;11702;48;11;0.00179;0.01906;0.03334;-1.00000;0.00263;0.05313;-1.00000;-1.00000;0.03190;0.02780;-1.00000;-1.00000;-1.00000;0.01530;0.01906;0.03334;-1.00000;0.00263;0.03424;-1.00000;-1.00000;0.09525;0.08985;-1.00000;0.29683;-1.00000;0.00162;0.01906;0.03334;-1.00000;0.00263;0.04761;-1.00000;-1.00000;0.02890;0.02545;-1.00000;0.63127;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
