repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;2471;618;4;2;0.02589;0.04234;0.04267;0.04267;0.02064;0.15913;0.27436;0.31798;0.43995;0.29285;0.29810;-1.00000;-1.00000;0.03236;0.04234;0.04267;0.04267;0.02064;0.13167;0.24742;0.38886;0.55298;0.39567;0.26853;0.57371;-1.00000;0.02427;0.04234;0.04267;0.04267;0.02064;0.15308;0.26593;0.30190;0.41181;0.27637;0.28852;0.74924;-1.00000;0.02427;0.04234;0.04267;0.04267;0.02064;0.14780;0.25937;0.30434;0.41247;0.28050;0.28117;0.47853;1.14455
2;2471;618;4;2;0.02913;0.04024;0.04079;0.04079;0.01879;0.15463;0.26740;0.30232;0.41211;0.27615;0.29017;-1.00000;-1.00000;0.04693;0.04024;0.04079;0.04079;0.01879;0.12803;0.24081;0.37017;0.51576;0.37182;0.26093;0.57782;-1.00000;0.02913;0.04024;0.04079;0.04079;0.01879;0.15008;0.26077;0.28875;0.38902;0.26221;0.28259;0.75928;-1.00000;0.03236;0.04024;0.04079;0.04079;0.01879;0.14292;0.25212;0.29163;0.38922;0.26725;0.27299;0.48917;1.16726
3;2471;618;4;2;0.02913;0.04414;0.04551;0.04551;0.02023;0.16176;0.27707;0.31287;0.43485;0.28674;0.30102;-1.00000;-1.00000;0.04045;0.04414;0.04551;0.04551;0.02023;0.13673;0.25607;0.39067;0.56153;0.39696;0.27863;0.55832;-1.00000;0.02751;0.04414;0.04551;0.04551;0.02023;0.15717;0.27043;0.29603;0.40674;0.26931;0.29340;0.75626;-1.00000;0.02589;0.04414;0.04551;0.04551;0.02023;0.15230;0.26476;0.29954;0.40879;0.27434;0.28714;0.47147;1.09496
4;2471;618;4;2;0.03236;0.04051;0.04258;0.04258;0.01766;0.15205;0.26372;0.29929;0.40525;0.27257;0.28601;-1.00000;-1.00000;0.03074;0.04051;0.04258;0.04258;0.01766;0.13481;0.24828;0.31566;0.42859;0.30078;0.26936;0.52871;-1.00000;0.03398;0.04051;0.04258;0.04258;0.01766;0.14671;0.25591;0.28264;0.37719;0.25553;0.27711;0.77627;-1.00000;0.03398;0.04051;0.04258;0.04258;0.01766;0.14315;0.25124;0.28554;0.37947;0.25956;0.27186;0.48608;1.14396
5;2471;618;4;2;0.02589;0.03939;0.04118;0.04118;0.01749;0.15634;0.27055;0.31192;0.42853;0.28582;0.29386;-1.00000;-1.00000;0.03236;0.03939;0.04118;0.04118;0.01749;0.12970;0.24188;0.34673;0.47464;0.33908;0.26214;0.55255;-1.00000;0.02751;0.03939;0.04118;0.04118;0.01749;0.14810;0.25855;0.29068;0.39077;0.26401;0.28018;0.77458;-1.00000;0.02751;0.03939;0.04118;0.04118;0.01749;0.14128;0.24989;0.29256;0.38976;0.26793;0.27047;0.49499;1.20272
6;2471;618;4;2;0.02589;0.04504;0.04439;0.04439;0.02114;0.16330;0.28177;0.31922;0.44747;0.29353;0.30683;-1.00000;-1.00000;0.02104;0.04504;0.04439;0.04439;0.02114;0.14783;0.26809;0.33741;0.47450;0.32284;0.29216;0.49674;-1.00000;0.02104;0.04504;0.04439;0.04439;0.02114;0.15873;0.27539;0.30739;0.42616;0.28138;0.29953;0.74906;-1.00000;0.02104;0.04504;0.04439;0.04439;0.02114;0.15470;0.27028;0.30957;0.42719;0.28493;0.29376;0.46873;1.12791
7;2471;618;4;2;0.03236;0.03884;0.04065;0.04065;0.01707;0.15473;0.26723;0.30131;0.41069;0.27480;0.28994;-1.00000;-1.00000;0.03236;0.03884;0.04065;0.04065;0.01707;0.12831;0.23942;0.33246;0.45127;0.32324;0.25929;0.55967;-1.00000;0.02913;0.03884;0.04065;0.04065;0.01707;0.14748;0.25651;0.28401;0.37982;0.25716;0.27771;0.77056;-1.00000;0.03074;0.03884;0.04065;0.04065;0.01707;0.13999;0.24751;0.28461;0.37675;0.25990;0.26772;0.49808;1.18814
8;2471;618;4;2;0.03236;0.04176;0.04284;0.04284;0.01975;0.15639;0.26971;0.30889;0.42373;0.28222;0.29275;-1.00000;-1.00000;0.03560;0.04176;0.04284;0.04284;0.01975;0.13647;0.25128;0.33537;0.46131;0.32318;0.27284;0.52787;-1.00000;0.03074;0.04176;0.04284;0.04284;0.01975;0.15199;0.26336;0.29784;0.40403;0.27091;0.28552;0.75859;-1.00000;0.03074;0.04176;0.04284;0.04284;0.01975;0.14627;0.25669;0.30046;0.40457;0.27538;0.27814;0.48068;1.14731
9;2471;618;4;2;0.02589;0.04022;0.04049;0.04049;0.01917;0.15636;0.27061;0.31270;0.42971;0.28662;0.29393;-1.00000;-1.00000;0.03560;0.04022;0.04049;0.04049;0.01917;0.12378;0.23387;0.42089;0.60058;0.44001;0.25284;0.60561;-1.00000;0.02751;0.04022;0.04049;0.04049;0.01917;0.15092;0.26277;0.29785;0.40364;0.27134;0.28497;0.76214;-1.00000;0.02913;0.04022;0.04049;0.04049;0.01917;0.14290;0.25303;0.30150;0.40442;0.27758;0.27413;0.48927;1.20492
10;2471;618;4;2;0.02265;0.04217;0.04313;0.04313;0.02036;0.15851;0.27346;0.31461;0.43432;0.28933;0.29710;-1.00000;-1.00000;0.03236;0.04217;0.04313;0.04313;0.02036;0.14116;0.25566;0.32508;0.44742;0.30957;0.27749;0.51355;-1.00000;0.02427;0.04217;0.04313;0.04313;0.02036;0.15285;0.26550;0.29770;0.40551;0.27196;0.28803;0.75338;-1.00000;0.02589;0.04217;0.04313;0.04313;0.02036;0.14777;0.25893;0.30218;0.40919;0.27817;0.28063;0.48098;1.13605
11;2471;618;4;2;0.02427;0.04531;0.04634;0.04634;0.02157;0.16453;0.28148;0.31899;0.44722;0.29342;0.30614;-1.00000;-1.00000;0.03236;0.04531;0.04634;0.04634;0.02157;0.14453;0.26508;0.34581;0.48911;0.33628;0.28883;0.52353;-1.00000;0.02589;0.04531;0.04634;0.04634;0.02157;0.16046;0.27532;0.30445;0.42269;0.27824;0.29901;0.74418;-1.00000;0.02913;0.04531;0.04634;0.04634;0.02157;0.15566;0.26989;0.30687;0.42318;0.28216;0.29303;0.46896;1.08090
