repeat;n_train;n_test;d;c;unf_mv_risk;unf_gibbs;unf_disagreement;unf_u_disagreement;unf_tandem_risk;unf_pbkl;unf_c1;unf_c2;unf_ctd;unf_tnd;unf_dis;unf_lamda;unf_gamma;lam_mv_risk;lam_gibbs;lam_disagreement;lam_u_disagreement;lam_tandem_risk;lam_pbkl;lam_c1;lam_c2;lam_ctd;lam_tnd;lam_dis;lam_lamda;lam_gamma;tnd_mv_risk;tnd_gibbs;tnd_disagreement;tnd_u_disagreement;tnd_tandem_risk;tnd_pbkl;tnd_c1;tnd_c2;tnd_ctd;tnd_tnd;tnd_dis;tnd_lamda;tnd_gamma;dis_mv_risk;dis_gibbs;dis_disagreement;dis_u_disagreement;dis_tandem_risk;dis_pbkl;dis_c1;dis_c2;dis_ctd;dis_tnd;dis_dis;dis_lamda;dis_gamma
1;16000;4000;16;26;0.03825;0.18035;0.25334;-1.00000;0.08468;0.41331;-1.00000;-1.00000;1.00000;0.46334;-1.00000;-1.00000;-1.00000;0.12150;0.18035;0.25334;-1.00000;0.08468;0.38920;-1.00000;-1.00000;1.00000;0.58746;-1.00000;0.14022;-1.00000;0.03800;0.18035;0.25334;-1.00000;0.08468;0.40356;-1.00000;-1.00000;1.00000;0.44925;-1.00000;0.26774;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
2;16000;4000;16;26;0.04125;0.17877;0.25046;-1.00000;0.08365;0.41315;-1.00000;-1.00000;1.00000;0.46254;-1.00000;-1.00000;-1.00000;0.11925;0.17877;0.25046;-1.00000;0.08365;0.38645;-1.00000;-1.00000;1.00000;0.55508;-1.00000;0.13993;-1.00000;0.04400;0.17877;0.25046;-1.00000;0.08365;0.40040;-1.00000;-1.00000;1.00000;0.44511;-1.00000;0.27009;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
3;16000;4000;16;26;0.02825;0.18210;0.25512;-1.00000;0.08649;0.41936;-1.00000;-1.00000;1.00000;0.47230;-1.00000;-1.00000;-1.00000;0.15300;0.18210;0.25512;-1.00000;0.08649;0.37584;-1.00000;-1.00000;1.00000;0.85188;-1.00000;0.15081;-1.00000;0.03000;0.18210;0.25512;-1.00000;0.08649;0.40710;-1.00000;-1.00000;1.00000;0.45681;-1.00000;0.26418;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
4;16000;4000;16;26;0.03775;0.17970;0.25069;-1.00000;0.08500;0.41148;-1.00000;-1.00000;1.00000;0.46316;-1.00000;-1.00000;-1.00000;0.09000;0.17970;0.25069;-1.00000;0.08500;0.39305;-1.00000;-1.00000;1.00000;0.51313;-1.00000;0.13270;-1.00000;0.03825;0.17970;0.25069;-1.00000;0.08500;0.40202;-1.00000;-1.00000;1.00000;0.44949;-1.00000;0.26499;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
5;16000;4000;16;26;0.03800;0.17903;0.25094;-1.00000;0.08504;0.40975;-1.00000;-1.00000;1.00000;0.46151;-1.00000;-1.00000;-1.00000;0.09675;0.17903;0.25094;-1.00000;0.08504;0.38722;-1.00000;-1.00000;1.00000;0.55394;-1.00000;0.13757;-1.00000;0.03850;0.17903;0.25094;-1.00000;0.08504;0.40053;-1.00000;-1.00000;1.00000;0.44912;-1.00000;0.26395;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
6;16000;4000;16;26;0.03800;0.17971;0.25196;-1.00000;0.08455;0.41190;-1.00000;-1.00000;1.00000;0.46188;-1.00000;-1.00000;-1.00000;0.18425;0.17971;0.25196;-1.00000;0.08455;0.38910;-1.00000;-1.00000;1.00000;0.72137;-1.00000;0.14296;-1.00000;0.03925;0.17971;0.25196;-1.00000;0.08455;0.40207;-1.00000;-1.00000;1.00000;0.44772;-1.00000;0.26612;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
7;16000;4000;16;26;0.04025;0.18127;0.25291;-1.00000;0.08547;0.41621;-1.00000;-1.00000;1.00000;0.46623;-1.00000;-1.00000;-1.00000;0.17375;0.18127;0.25291;-1.00000;0.08547;0.38790;-1.00000;-1.00000;1.00000;0.73335;-1.00000;0.14409;-1.00000;0.04350;0.18127;0.25291;-1.00000;0.08547;0.40545;-1.00000;-1.00000;1.00000;0.45243;-1.00000;0.26597;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
8;16000;4000;16;26;0.04000;0.17976;0.25049;-1.00000;0.08456;0.41744;-1.00000;-1.00000;1.00000;0.46759;-1.00000;-1.00000;-1.00000;0.17950;0.17976;0.25049;-1.00000;0.08456;0.37164;-1.00000;-1.00000;1.00000;0.82511;-1.00000;0.15116;-1.00000;0.04300;0.17976;0.25049;-1.00000;0.08456;0.40249;-1.00000;-1.00000;1.00000;0.44942;-1.00000;0.26919;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
9;16000;4000;16;26;0.03775;0.18160;0.25367;-1.00000;0.08573;0.41447;-1.00000;-1.00000;1.00000;0.46350;-1.00000;-1.00000;-1.00000;0.17150;0.18160;0.25367;-1.00000;0.08573;0.38871;-1.00000;-1.00000;1.00000;0.80889;-1.00000;0.14573;-1.00000;0.04150;0.18160;0.25367;-1.00000;0.08573;0.40584;-1.00000;-1.00000;1.00000;0.45191;-1.00000;0.26237;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
10;16000;4000;16;26;0.03875;0.18024;0.25373;-1.00000;0.08555;0.41384;-1.00000;-1.00000;1.00000;0.46674;-1.00000;-1.00000;-1.00000;0.11825;0.18024;0.25373;-1.00000;0.08555;0.38919;-1.00000;-1.00000;1.00000;0.55646;-1.00000;0.13811;-1.00000;0.04225;0.18024;0.25373;-1.00000;0.08555;0.40319;-1.00000;-1.00000;1.00000;0.45300;-1.00000;0.26624;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
11;16000;4000;16;26;0.03775;0.18062;0.25407;-1.00000;0.08487;0.41530;-1.00000;-1.00000;1.00000;0.46341;-1.00000;-1.00000;-1.00000;0.16675;0.18062;0.25407;-1.00000;0.08487;0.38906;-1.00000;-1.00000;1.00000;0.60689;-1.00000;0.14049;-1.00000;0.03750;0.18062;0.25407;-1.00000;0.08487;0.40396;-1.00000;-1.00000;1.00000;0.44900;-1.00000;0.26536;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
12;16000;4000;16;26;0.03025;0.18138;0.25336;-1.00000;0.08647;0.41607;-1.00000;-1.00000;1.00000;0.47023;-1.00000;-1.00000;-1.00000;0.17000;0.18138;0.25336;-1.00000;0.08647;0.38765;-1.00000;-1.00000;1.00000;0.62866;-1.00000;0.14143;-1.00000;0.03300;0.18138;0.25336;-1.00000;0.08647;0.40559;-1.00000;-1.00000;1.00000;0.45648;-1.00000;0.26376;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
13;16000;4000;16;26;0.03800;0.18068;0.25240;-1.00000;0.08588;0.41539;-1.00000;-1.00000;1.00000;0.47027;-1.00000;-1.00000;-1.00000;0.16975;0.18068;0.25240;-1.00000;0.08588;0.39199;-1.00000;-1.00000;1.00000;0.58297;-1.00000;0.13652;-1.00000;0.04125;0.18068;0.25240;-1.00000;0.08588;0.40419;-1.00000;-1.00000;1.00000;0.45529;-1.00000;0.26733;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000;-1.00000
